k,c,m,t,x
200,2,1,0.4195162635529608,0.5973762930065029
200,2,1,0.4203502919099249,0.600108272328744
200,2,1,0.42118432026688907,0.6027522814535251
200,2,1,0.4220183486238532,0.6053080994723891
200,2,1,0.42285237698081735,0.6077755181038961
200,2,1,0.42368640533778146,0.6101543417015282
200,2,1,0.4245204336947456,0.6124443872598293
200,2,1,0.42535446205170974,0.6146454844187718
200,2,1,0.4261884904086739,0.6167574754663644
200,2,1,0.427022518765638,0.6187802153394916
200,2,1,0.4278565471226021,0.6207135716229999
200,2,1,0.4286905754795663,0.6225574245470215
200,2,1,0.4295246038365304,0.6243116669825468
200,2,1,0.4303586321934946,0.6259762044352503
200,2,1,0.4311926605504587,0.6275509550375645
200,2,1,0.43202668890742285,0.6290358495390185
200,2,1,0.43286071726438696,0.6304308312948325
200,2,1,0.43369474562135113,0.6317358562527837
200,2,1,0.43452877397831524,0.6329508929383422
200,2,1,0.4353628023352794,0.6340759224380825
200,2,1,0.4361968306922435,0.6351109383813783
200,2,1,0.43703085904920763,0.636055946920382
200,2,1,0.4378648874061718,0.6369109667082999
200,2,1,0.4386989157631359,0.6376760288759626
200,2,1,0.4395329441201001,0.6383511770067033
200,2,1,0.4403669724770642,0.638936467109544
200,2,1,0.44120100083402836,0.6394319675907013
200,2,1,0.44203502919099247,0.6398377592234159
200,2,1,0.44286905754795663,0.640153935116113
200,2,1,0.44370308590492075,0.6403806006789006
200,2,1,0.4445371142618849,0.6405178735884158
200,2,1,0.445371142618849,0.6405658837510219
200,2,1,0.44620517097581314,0.6405247732643684
200,2,1,0.4470391993327773,0.6403946963773212
200,2,1,0.4478732276897414,0.6401758194482676
200,2,1,0.4487072560467056,0.6398683209018116
200,2,1,0.4495412844036697,0.63947239118386
200,2,1,0.45037531276063386,0.6389882327151163
200,2,1,0.451209341117598,0.6384160598429834
200,2,1,0.45204336947456214,0.6377560987918931
200,2,1,0.45287739783152625,0.637008587612063
200,2,1,0.45371142618849036,0.6361737761266988
200,2,1,0.45454545454545453,0.6352519258776458
200,2,1,0.45537948290241864,0.6342433100695025
200,2,1,0.4562135112593828,0.6331482135122073
200,2,1,0.4570475396163469,0.6319669325621053
200,2,1,0.4578815679733111,0.6306997750615113
200,2,1,0.4587155963302752,0.6293470602767751
200,2,1,0.45954962468723937,0.6279091188348614
200,2,1,0.4603836530442035,0.6263862926584594
200,2,1,0.46121768140116765,0.6247789348996257
200,2,1,0.46205170975813176,0.6230874098719815
200,2,1,0.46288573811509587,0.6213120929814689
200,2,1,0.46371976647206004,0.6194533706556801
200,2,1,0.46455379482902415,0.6175116402717745
200,2,1,0.4653878231859883,0.615487310082992
200,2,1,0.4662218515429524,0.6133807991437785
200,2,1,0.4670558798999166,0.611192537233533
200,2,1,0.4678899082568807,0.6089229647789933
200,2,1,0.46872393661384487,0.6065725327752689
200,2,1,0.469557964970809,0.6041417027055372
200,2,1,0.47039199332777315,0.6016309464594165
200,2,1,0.47122602168473726,0.5990407462500273
200,2,1,0.4720600500417014,0.5963715945297577
200,2,1,0.47289407839866554,0.5936239939047453
200,2,1,0.47372810675562965,0.5907984570480902
200,2,1,0.4745621351125938,0.5878955066118146
200,2,1,0.47539616346955793,0.58491567513758
200,2,1,0.4762301918265221,0.5818595049661801
